Start Year,End Year,Kill Constant,Environment Capacity,,Breeding Probability,Disease,Fitness Factor,Expected Max Population,Avg Capacity Factor,Avg Capacity Fitness
1872,1881,1.066,35000000,7000000000000,0.6,false,1.3024069999999999,35000000,1.0462537812245856,1.3626482484433686
1882,1891,1.066,37800000,7560000000000,0.6,false,1.3024069999999999,37800000,1.026083601641742,1.3363784653634163
1892,1901,1.066,38200000,7640000000000,0.6,false,1.3024069999999999,38200000,1.026880477122032,1.337416321567074
1902,1911,1.003,42000000,8400000000000,0.13,false,1.3024069999999999,42000000,1.0714947213683697,1.395522225573214
1912,1921,1.003,44000000,8800000000000,0.13,false,1.3024069999999999,44000000,1.0181271690215177,1.3260159518238077
1922,1931,1.003,45000000,9000000000000,0.13,false,1.3024069999999999,45000000,1.0267021234018086,1.3371840324333792
1932,1941,1.003,50200000,10040000000000,0.13,false,1.3024069999999999,50200000,1.0632147438206594,1.3847383248552334
1942,1951,1.003,52800000,10560000000000,0.13,false,1.3024069999999999,52800000,1.0485595967567989,1.365651358733232
1952,1961,1.003,55800000,11160000000000,0.13,false,1.3024069999999999,55800000,1.0473957808670282,1.3641355967716835
1962,1971,1.003,56200000,11240000000000,0.13,false,1.3024069999999999,56200000,1.0464414271159854,1.3628926397658492
1972,1981,1.003,57400000,11480000000000,0.13,false,1.3024069999999999,57400000,1.037843768690355,1.3516949892486991
1982,1991,1.003,59200000,11840000000000,0.13,false,1.3024069999999999,59200000,1.0523418973819108,1.370577453543482
1992,2001,1.003,63200000,12640000000000,0.13,false,1.3024069999999999,63200000,1.0748889566924777,1.3999429014189797
2002,2011,1.003,65600000,13120000000000,0.13,false,1.3024069999999999,65600000,1.062137658627131,1.3833355215595855
2012,2015,1.003,66200000,13240000000000,0.13,false,1.3024069999999999,66200000,1.0280337659693046,1.338918373034784
