Ackleys,Alpine,Brown,ChungReynolds,DixonPrice,Exponential,Griewank,Qing,Rastrigin,Rosenbrock,Salomon,SchumerSteiglitz,Schwefel220,Schwefel226,Sphere,StyblinksiTang,SumOfPowers,SumSquares,Trid,Zakharoy,FixedOne,FixedHalf,Random
2.57E-04,1.86E-04,2.63E-04,3.54E-04,1.96E-04,4.13E-04,4.85E-04,0.001445925,3.57E-04,2.33E-04,3.243540577,2.28E-04,2.03E-04,0.043418533,5.71E-04,7.14E-04,0.762652809,5.40E-04,2.35E-04,1.70E-04,0,0,0.047594832
2.50E-04,1.81E-04,2.67E-04,3.54E-04,2.01E-04,3.45E-04,5.08E-04,0.001211865,3.57E-04,2.24E-04,3.243540577,2.32E-04,2.10E-04,0.038978603,5.71E-04,7.11E-04,0.745200711,5.40E-04,2.35E-04,1.73E-04,0,0,0.047594832
2.43E-04,1.80E-04,2.62E-04,3.54E-04,2.01E-04,3.32E-04,5.05E-04,0.00117001,3.55E-04,2.10E-04,3.55952375,2.26E-04,2.05E-04,0.039194457,6.06E-04,7.26E-04,0.762460576,5.79E-04,2.27E-04,1.47E-04,0,0,0.054260487
2.60E-04,1.73E-04,2.61E-04,3.54E-04,2.00E-04,3.32E-04,4.92E-04,0.001012399,3.37E-04,2.10E-04,3.63274395,2.26E-04,2.08E-04,0.039194457,6.06E-04,6.78E-04,0.62230534,5.79E-04,2.27E-04,1.41E-04,0,0,0.054260487
2.90E-04,1.73E-04,2.62E-04,3.54E-04,1.91E-04,3.36E-04,4.92E-04,0.001012399,3.71E-04,2.05E-04,3.311575781,2.13E-04,2.03E-04,0.045844592,5.71E-04,6.86E-04,0.62562585,5.40E-04,2.50E-04,1.50E-04,0,0,0.04927169
2.59E-04,1.66E-04,2.62E-04,3.54E-04,1.98E-04,3.36E-04,4.77E-04,9.84E-04,3.69E-04,2.14E-04,3.612692142,2.24E-04,2.09E-04,0.047981468,5.71E-04,6.84E-04,0.62562585,5.40E-04,2.41E-04,1.50E-04,0,0,0.051528486
2.96E-04,1.62E-04,2.59E-04,3.54E-04,2.25E-04,3.36E-04,4.60E-04,9.70E-04,3.53E-04,2.20E-04,3.771318683,2.18E-04,2.12E-04,0.046256304,5.81E-04,6.84E-04,0.554929386,5.55E-04,2.33E-04,1.56E-04,0,0,0.051528486
3.04E-04,1.62E-04,2.59E-04,3.36E-04,2.20E-04,3.47E-04,4.58E-04,9.96E-04,3.60E-04,2.17E-04,4.138060488,2.18E-04,2.14E-04,0.046256304,6.18E-04,6.84E-04,0.589916393,6.16E-04,2.33E-04,1.53E-04,0,0,0.04980471
2.83E-04,1.60E-04,2.47E-04,3.36E-04,2.34E-04,3.62E-04,4.58E-04,0.001055617,4.08E-04,2.17E-04,4.138060488,2.22E-04,2.11E-04,0.048437831,6.31E-04,6.76E-04,0.580373924,6.67E-04,2.33E-04,1.65E-04,0,0,0.036291424
2.97E-04,1.60E-04,2.46E-04,3.38E-04,2.28E-04,3.62E-04,4.58E-04,0.001055617,4.00E-04,1.92E-04,4.074228768,2.17E-04,2.08E-04,0.047745245,6.14E-04,6.83E-04,0.571033081,6.58E-04,2.29E-04,1.78E-04,0,0,0.036291424
2.92E-04,1.71E-04,2.46E-04,3.65E-04,2.28E-04,3.55E-04,4.58E-04,0.001026063,3.92E-04,2.16E-04,4.046985075,2.17E-04,2.08E-04,0.046907447,6.14E-04,6.83E-04,0.627342358,6.58E-04,2.33E-04,1.78E-04,0,0,0.036291424
2.39E-04,1.70E-04,2.46E-04,3.65E-04,2.28E-04,3.43E-04,4.58E-04,9.99E-04,3.68E-04,2.38E-04,4.014127234,2.17E-04,2.08E-04,0.046487291,6.51E-04,6.63E-04,0.639512425,6.93E-04,2.40E-04,1.75E-04,0,0,0.050289068
2.43E-04,1.70E-04,2.53E-04,3.65E-04,2.22E-04,3.49E-04,4.36E-04,0.001041662,3.69E-04,2.33E-04,4.015265059,2.12E-04,2.05E-04,0.045939682,6.51E-04,6.40E-04,0.560805332,6.93E-04,2.40E-04,1.81E-04,0,0,0.050289068
2.48E-04,1.72E-04,2.53E-04,3.65E-04,2.77E-04,3.56E-04,4.65E-04,0.001044682,3.79E-04,2.49E-04,4.147811053,2.51E-04,2.41E-04,0.044278558,6.12E-04,6.11E-04,0.543933661,6.68E-04,2.40E-04,1.94E-04,0,0,0.048571683
2.17E-04,1.77E-04,2.66E-04,3.65E-04,2.86E-04,3.24E-04,4.50E-04,0.00104538,3.79E-04,2.57E-04,4.215237641,2.48E-04,2.12E-04,0.044278558,6.14E-04,5.84E-04,0.527908838,6.75E-04,2.31E-04,1.87E-04,0,0,0.046903316
2.14E-04,1.62E-04,2.60E-04,3.69E-04,2.86E-04,3.11E-04,4.23E-04,0.00104538,3.73E-04,2.57E-04,4.231175729,2.48E-04,2.19E-04,0.043093039,6.14E-04,5.57E-04,0.525362738,6.75E-04,2.44E-04,1.87E-04,0,0,0.059509944
2.07E-04,1.60E-04,2.53E-04,2.00E-04,2.77E-04,3.68E-04,3.78E-04,0.001043585,3.71E-04,2.70E-04,4.053265789,2.56E-04,2.00E-04,0.046125562,5.90E-04,5.48E-04,0.525362738,6.34E-04,2.58E-04,1.79E-04,0,0,0.059509944
2.34E-04,1.63E-04,2.53E-04,2.00E-04,2.86E-04,3.00E-04,3.88E-04,0.001015973,3.80E-04,2.69E-04,4.00970229,2.64E-04,2.04E-04,0.046125562,5.83E-04,5.57E-04,0.546151053,6.15E-04,2.78E-04,1.68E-04,0,0,0.054662816
2.08E-04,1.69E-04,2.45E-04,2.00E-04,2.80E-04,3.07E-04,3.88E-04,0.001035545,3.74E-04,2.48E-04,4.111585173,2.49E-04,2.11E-04,0.046129946,5.83E-04,5.67E-04,0.543707411,6.15E-04,2.78E-04,1.74E-04,0,0,0.054662816
2.13E-04,1.60E-04,2.39E-04,2.00E-04,2.80E-04,3.44E-04,3.81E-04,0.00109223,3.64E-04,2.48E-04,4.058158736,2.48E-04,2.04E-04,0.04331158,5.83E-04,5.89E-04,0.543707411,6.15E-04,2.68E-04,1.74E-04,0,0,0.061817058
2.31E-04,1.59E-04,2.61E-04,2.00E-04,2.80E-04,3.33E-04,3.81E-04,0.001197771,3.71E-04,2.41E-04,4.038517851,2.20E-04,2.03E-04,0.04331158,5.83E-04,5.85E-04,0.52579093,6.15E-04,2.58E-04,1.71E-04,0,0,0.067338542
